               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095961,             0.21675,            0.081276,             0.38521,            0.032799,           0.0060114,           0.0016769,            0.088542,             0.17447,            0.075497,           0.0033331,           0.0033331,            0.070002
                   1,            0.084494,             0.22254,            0.070157,             0.32502,             0.08828,            0.034111,            0.011276,            0.081201,             0.17296,            0.062733,           0.0066663,           0.0066663,            0.040002
                   2,            0.079678,             0.22248,            0.060591,             0.26758,             0.13795,            0.070433,            0.026515,             0.07676,             0.17104,            0.054452,           0.0099988,           0.0099988,            0.010001
                   3,            0.076701,             0.22016,            0.054178,              0.2667,             0.16958,             0.10301,             0.04135,             0.07418,             0.16908,            0.048895,           0.0099978,           0.0099978,           0.0099978
                   4,            0.074826,             0.21805,            0.050349,             0.29141,             0.18759,             0.12364,            0.051511,            0.072891,             0.16813,             0.04596,           0.0099978,           0.0099978,           0.0099978
                   5,            0.073818,             0.21678,            0.048254,             0.28993,             0.19841,             0.13874,            0.059722,            0.072096,             0.16718,            0.044322,           0.0099961,           0.0099961,           0.0099961
                   6,            0.073027,             0.21507,            0.046872,             0.31133,             0.20661,             0.15078,             0.06564,            0.071562,             0.16646,            0.043164,           0.0099938,           0.0099938,           0.0099938
                   7,            0.072586,             0.21423,            0.045814,             0.29296,             0.22573,             0.16083,            0.070404,            0.071115,             0.16601,            0.042167,           0.0099911,           0.0099911,           0.0099911
                   8,            0.072238,             0.21412,            0.044996,             0.31054,             0.22579,             0.16955,             0.07508,            0.070721,             0.16549,            0.041324,           0.0099879,           0.0099879,           0.0099879
                   9,            0.071964,              0.2133,            0.044396,             0.32234,              0.2272,             0.17801,            0.079075,            0.070376,             0.16489,            0.040536,           0.0099842,           0.0099842,           0.0099842
                  10,            0.071713,             0.21276,            0.043971,             0.33957,             0.23222,             0.18633,            0.083871,            0.069995,             0.16435,            0.039749,             0.00998,             0.00998,             0.00998
                  11,            0.071498,             0.21302,            0.043578,             0.35489,             0.22948,             0.19215,            0.087177,            0.069702,             0.16376,            0.039144,           0.0099753,           0.0099753,           0.0099753
                  12,            0.071403,             0.21216,            0.043174,             0.35186,             0.24348,             0.20197,              0.0914,             0.06934,             0.16324,            0.038562,           0.0099702,           0.0099702,           0.0099702
                  13,            0.071231,             0.21149,            0.042795,             0.37348,             0.23174,             0.20638,            0.095079,            0.069063,             0.16285,            0.037963,           0.0099645,           0.0099645,           0.0099645
                  14,            0.071049,             0.21134,            0.042619,             0.36641,             0.24995,             0.21353,            0.098972,            0.068816,             0.16255,            0.037394,           0.0099584,           0.0099584,           0.0099584
                  15,            0.070933,             0.21147,            0.042378,             0.38533,              0.2538,             0.22011,             0.10196,            0.068514,             0.16216,            0.036831,           0.0099517,           0.0099517,           0.0099517
                  16,            0.070862,             0.21104,            0.042202,             0.37554,               0.254,             0.22612,             0.10522,            0.068274,             0.16184,            0.036344,           0.0099446,           0.0099446,           0.0099446
                  17,            0.070821,              0.2112,             0.04211,             0.40973,             0.24524,             0.23109,             0.10892,             0.06812,             0.16158,            0.035955,            0.009937,            0.009937,            0.009937
                  18,            0.070689,              0.2102,            0.041951,             0.44362,             0.24418,             0.23446,             0.11048,            0.067921,             0.16124,            0.035582,           0.0099289,           0.0099289,           0.0099289
                  19,             0.07063,             0.21069,            0.041785,             0.41424,             0.25757,             0.23912,             0.11256,            0.067769,             0.16108,            0.035226,           0.0099203,           0.0099203,           0.0099203
                  20,            0.070644,             0.21041,            0.041568,             0.39867,             0.26868,             0.24224,             0.11366,            0.067634,             0.16074,            0.034946,           0.0099112,           0.0099112,           0.0099112
                  21,            0.070505,             0.20999,            0.041585,             0.43219,             0.25427,             0.24653,             0.11687,            0.067496,              0.1604,            0.034607,           0.0099017,           0.0099017,           0.0099017
                  22,            0.070504,             0.21073,            0.041492,             0.41872,             0.26417,             0.24988,             0.11833,             0.06732,             0.16048,            0.034366,           0.0098916,           0.0098916,           0.0098916
                  23,            0.070448,             0.21037,            0.041308,             0.40436,             0.27236,             0.24996,             0.11957,            0.067242,              0.1603,            0.034112,           0.0098811,           0.0098811,           0.0098811
                  24,            0.070467,             0.21026,             0.04129,             0.43214,              0.2681,             0.25462,             0.12167,            0.067184,                0.16,            0.033992,           0.0098701,           0.0098701,           0.0098701
                  25,            0.070317,             0.20995,            0.041224,             0.41868,             0.27586,             0.25786,             0.12356,            0.067016,             0.15993,            0.033851,           0.0098586,           0.0098586,           0.0098586
