Subject,Predicate,Object,IsCorrect
XM2010 ESR 狙击步枪,弹匣容量,5 rds,1
TIKKA T3 狙击步枪,弹匣容量,5rds,1
APS水下突击步枪,制造商,中央精密机械研究所,1
PM98/PM06 冲锋枪,弹匣容量,280 mm 了安装瞄准镜的皮卡汀尼导轨，此外伸缩式枪托改为3,0
ARX-160突击步枪,制造商,恩菲尔德皇家兵工厂,0
SR-100 狙击步枪,全枪长,1130～1150mm,1
M4卡宾枪,国家,德国,1
M、S系列手枪,空枪重,750g 765g 730g,0
卢萨 A2 冲锋枪,膛线,6条、右旋,1
M、S系列手枪,国家,奥地利,1
APS水下突击步枪,弹匣容量,20rds,1
L85型突击步枪,射速,600～650R/min,0
SR-3VIKHR小型突击步枪,制造商,中央精密机械研究所,1
ARX-160突击步枪,制造商,西格公司,1
M1911A1军用手枪,制造商,斯托戈公司,0
MAG-7散弹枪,枪管长,320 mm,1
HEZI TM SM-1卡宾枪,有效射程,大约140m,1
M96 狙击步枪,子弹规格,7.62×51mm,0
SPAS-15多功能散弹枪,枪管长,460 mm,1
P99 半自动手枪,弹匣容量,16/10rds/12/10rds,1
SVDS 狙击步枪,初速,810 m/s,1
P99 半自动手枪,枪管长,114mm,0
SR-100 狙击步枪,制造商,布莱瑟尔公司,0
伯莱塔系列手枪,子弹规格,7.62mm,0
M96 狙击步枪,全枪重,15.4 kg,1
ADS两栖用步枪,枪管长,415 mm,1
JACKHAMMER自动散弹枪,有效射程,50 m,1
SR-3VIKHR小型突击步枪,国家,前苏联,0
卢萨 A2 冲锋枪,国家,美国,1
RT-20 反器材步枪,有效射程,1800 m,1
FR-F2 狙击步枪,有效射程,800 m,1
ARX-160突击步枪,理论射速,700 R/min,1
Remington ACR突击步枪,国家,美国,1
M96 狙击步枪,枪口初速,560 mm,0
AEK-971突击步枪,子弹规格,7.62×39mm、5.45×39mm,1
A-91M突击步枪,子弹规格,7.62x39mm/5.56x45mm,1
XM2010 ESR 狙击步枪,口径,.300 Win Mag,1
MP-448 Skyph手枪,国家,美国,0
马努汉 左轮手枪,口径,.40 S&W,0
卢萨 A2 冲锋枪,制造商,国家军品工业公司,1
FALCON 狙击步枪,子弹规格,.50 BMG/12.7×108 mm,1
HEZI TM SM-1卡宾枪,理论射速,650R/min 由枪管、机匣、击发与发射机构、自动机、枪托和,0
FNC突击步枪,制造商,赫克勒-科赫公司,0
M1911A1军用手枪,全枪长,222.3mm,0
SHIPKA 冲锋枪,理论射速,550 R/min,0
P99 半自动手枪,子弹规格,9x19mm,1
MP7 冲锋枪,瞄准基线长,270 mm,1
SHIPKA 冲锋枪,理论射速,777000000 RRR///mmmiiinnn 不不不详详详,0
SPAS-12多功能散弹枪,空枪重,4.4kg,1
PM98/PM06 冲锋枪,有效射程,518 J,1
JACKHAMMER自动散弹枪,空枪重,3.9kg,0
CHEYTAC 狙击步枪,全枪重,7～9.50kg,1
TIKKA T3 狙击步枪,子弹规格,.308Win,1
L85型突击步枪,枪管长,12.4 kg,0
M1911A1军用手枪,瞄准基线长,164.6mm,1
M96 狙击步枪,制造商,麦克米兰公司,0
M、S系列手枪,制造商,MARTIN TUMA ENGINEERING,1
M1911A1军用手枪,枪口动能,253m/s,0
FP-6 泵动散弹枪,全枪长,1055 mm,1
FG-42伞兵步枪,空枪重,3.18 kg,1
M、S系列手枪,枪管长,203mm,0
伯莱塔系列手枪,弹匣容量,10/12rds,0
SVD 狙击步枪,弹匣容量,10 rds,1
L85型突击步枪,表尺射程,300m,1
HEZI TM SM-1卡宾枪,初速,515 m/s,1
MP7 冲锋枪,理论射速,550,0
AN94突击步枪,口径,5.45×39mm,1
蝎式 冲锋枪,枪管长,115 mm,1
M4卡宾枪,瞄准基线长,368 mm,1
BA 50 狙击步枪,全枪重,13.6kg,1
PP-19 野牛冲锋枪,射速,680 R/min,1
FNC突击步枪,膛线,4条，右旋，缠距305mm,0
马努汉 左轮手枪,制造商,马努汉公司,1
AEK-971突击步枪,制造商,伊热夫斯克机械厂,0
ADS两栖用步枪,理论射速,600～800 R/min,1
FP-6 泵动散弹枪,制造商,伯奈利公司,0
M96 狙击步枪,制造商,EDM武器公司,1
M、S系列手枪,瞄准基线长,160mm 手的欢迎，除了优质的枪管工艺和平滑的扳,0
SHIPKA 冲锋枪,枪管长,200 mm,0
RT-20 反器材步枪,子弹规格,.308win,0
MSMC 冲锋枪,国家,印度,1
FALCON 狙击步枪,口径,.50 BMG,1
ARX-160突击步枪,射速,700R/min,1
ARX-160突击步枪,枪管长,254～406mm,1
P90 冲锋枪,枪管长,230 mm,1
蝎式 冲锋枪,口径,32 ACP,1
蝎式 冲锋枪,弹匣容量,10、20 rds,1
L85型突击步枪,初速,940 m/s,1
M96 狙击步枪,全枪长,1017mm,0
BA 50 狙击步枪,国家,英国,1
SV-98 狙击步枪,国家,俄罗斯,1
伯莱塔系列手枪,国家,挪威,1
L85型突击步枪,国家,希腊,0
MAG-7散弹枪,口径,12号,1
SR-100 狙击步枪,弹匣容量,5rds,1
SPAS-15多功能散弹枪,国家,美国,1
伯莱塔系列手枪,全枪长,200mm 完5发子弹后的枪管都必须运回工厂重新装填，很麻烦,0
卢萨 A2 冲锋枪,理论射速,50 R/min,1
AN94突击步枪,子弹规格,7.62×39mm,0
卢萨 A2 冲锋枪,枪口初速,390 m/s,1
FG-42伞兵步枪,全枪长,937 mm/1060 mm,1
MSMC 冲锋枪,枪管长,300 mm,1
BA 50 狙击步枪,国家,荷兰,0
CHEYTAC 狙击步枪,空枪重,14 kg,1
ARX-160突击步枪,枪管长,226 mm,0
FP-6 泵动散弹枪,国家,美国,0
M4卡宾枪,有效射程,600 m,1
打击者 散弹枪,国家,南非,1
FP-6 泵动散弹枪,枪管长,502 mm,0
M96 狙击步枪,制造商,特维洛公司,0
MP7 冲锋枪,膛线,6条，右旋,1
P99 半自动手枪,全枪长,180/184mm,1
ASM-DT两栖突击步枪,口径,MGTS,1
9A-91小型突击步枪,国家,俄罗斯,1
伯莱塔系列手枪,子弹规格,5.7×28mm,1
CHEYTAC 狙击步枪,全枪长,953 mm 902 mm 800 mm 902 mm,0
P99 半自动手枪,国家,捷克,1
沙漠之鹰手枪,枪管长,152 mm 102 mm 117 mm,1
FP-6 泵动散弹枪,空枪重,3.1 kg,1
HEZI TM SM-1卡宾枪,国家,捷克,0
M16突击步枪,枪口动能,1625 J,1
M96 狙击步枪,枪管长,737 mm,0
CHEYTAC 狙击步枪,枪管长,660 mm 660 mm 559 mm 660 mm,0
伯莱塔系列手枪,子弹规格,45ACP,1
FP-6 泵动散弹枪,空枪重,3.2 /3.1 kg,1
JACKHAMMER自动散弹枪,全枪长,787 mm,1
SHIPKA 冲锋枪,枪口初速,333222000 mmm///sss 333666000 mmm///sss 射速700发/分，结构紧凑、轻便，单手就可操纵，,0
ADS两栖用步枪,弹匣容量,30 rds,1
JACKHAMMER自动散弹枪,空枪重,4.57 kg,1
SVD 狙击步枪,枪口动能,3303J,1
TIKKA T3 狙击步枪,全枪重,4.60kg,1
L85型突击步枪,枪管长,420mm,1
ARX-160突击步枪,空枪重,3.2 kg,0
XM2010 ESR 狙击步枪,全枪长,285mm,0
L85型突击步枪,空枪重,3.45kg,0
P90 冲锋枪,射速,900 R/min,1
卢萨 A2 冲锋枪,空枪重,2.98 kg,1
M16突击步枪,弹匣容量,20 / 30 rds,1
SV-99 狙击步枪,制造商,伊孜玛什公司,1
MP5 冲锋枪,弹匣容量,15/30rds,1
FP-6 泵动散弹枪,空枪重,3.3 /3.2 kg,0
PM98/PM06 冲锋枪,国家,波兰,1
M、S系列手枪,枪管长,85mm,0
Goblin折叠冲锋枪,口径,.40 S&W,1
9A-91小型突击步枪,制造商,中央精密机械研究所,1
M、S系列手枪,子弹规格,9999mmmmmmmm ....33332222AAAACCCCPPPP ....44445555AAAACCCCPPPP,0
BA 50 狙击步枪,枪管长,508mm,1
M1911A1军用手枪,制造商,多诺斯＆迪克逊企业公司,0
SVD 狙击步枪,初速,830m/s,1
PM98/PM06 冲锋枪,理论射速,"15, 25 rds PM-98的最新改进型是PM-06，外观上的改变是加高",0
SV-98 狙击步枪,制造商,伊孜玛什公司,1
93R 冲锋手枪,国家,意大利,1
勃朗宁BDM手枪,全枪长,不详,1
沙漠之鹰手枪,有效射程,100 m,0
P99 半自动手枪,口径,.40 S&W,1
SHIPKA 冲锋枪,弹匣容量,32 rds,1
马努汉 左轮手枪,子弹规格,8mm,1
卢萨 A2 冲锋枪,国家,意大利,1
P90 冲锋枪,理论射速,1100 R/min,0
ULTIMA RATIO 狙击步枪,弹匣容量,5～10rds,1
JACKHAMMER自动散弹枪,理论射速,240 R/min,1
SPP-1水下手枪,国家,俄罗斯,1
M1911A1军用手枪,子弹规格,9mmLuger，10.16mm，11.43mm,0
M4卡宾枪,口径,SS109,1
MAG-7散弹枪,弹匣容量,5 rds,1
ARX-160突击步枪,瞄准基线长,360 mm,1
FAMAS突击步枪,弹匣容量,25 /25 /30 rds,1
M4卡宾枪,国家,英国,0
M96 狙击步枪,有效射程,2000 m,1
M、S系列手枪,全枪长,190mm,0
M16突击步枪,初速,975 m/s,1
伯莱塔系列手枪,全枪长,217mm,1
DSR 狙击步枪,枪管长,650 mm,0
M96 狙击步枪,弹匣容量,5～10rds,0
FR-F2 狙击步枪,国家,法国,1
SVDS 狙击步枪,口径,7.62×54R,1
AN94突击步枪,弹匣容量,30 rds,0
伯莱塔系列手枪,膛线,右旋多边形膛线,0
SR-100 狙击步枪,全枪重,4.8kg,1
Remington ACR突击步枪,枪管长,260/360/410/450mm,1
UMP9 冲锋枪,口径,"45ACP,9mm",1
P99 半自动手枪,弹匣容量,16rds,1
FP-6 泵动散弹枪,全枪长,1040 mm,0
